"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","varandas","public","usuario","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","usuario","username",2,"character varying",150,"UNIQUE",NULL,NULL,NULL
"postgresql","varandas","public","permissao","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","permissao","nome",2,"character varying",100,"UNIQUE",NULL,NULL,NULL
"postgresql","varandas","public","usuario_permissao","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","usuario_permissao","usuario_id",2,"integer",NULL,"FOREIGN KEY","public","usuario","id"
"postgresql","varandas","public","usuario_permissao","permissao_id",3,"integer",NULL,"FOREIGN KEY","public","permissao","id"
"postgresql","varandas","public","moradores","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","morador_info","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","morador_info","morador_id",2,"integer",NULL,"FOREIGN KEY","public","moradores","id"
"postgresql","varandas","public","veiculo","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","morador_veiculo","morador_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","morador_veiculo","veiculo_id",2,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","morador_veiculo","morador_id",1,"integer",NULL,"FOREIGN KEY","public","moradores","id"
"postgresql","varandas","public","morador_veiculo","veiculo_id",2,"integer",NULL,"FOREIGN KEY","public","veiculo","id"
"postgresql","varandas","public","agendamento","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","visitante","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","prestador","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","encomenda","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","encomenda","numero_protocolo",2,"character varying",100,"UNIQUE",NULL,NULL,NULL
"postgresql","varandas","public","ocorrencia","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","ocorrencia","numero_ocorrencia",2,"character varying",100,"UNIQUE",NULL,NULL,NULL
"postgresql","varandas","public","funcionario","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","domesticos","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","mudanca","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","usuarios","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","permissoes","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","varandas","public","permissoes","user_id",2,"integer",NULL,"FOREIGN KEY","public","usuarios","id"
"postgresql","varandas","public","visitante","cor",15,"character varying",20,NULL,NULL,NULL,NULL
"postgresql","varandas","public","morador_info","data_nascimento",4,"date",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","funcionario","cidade",6,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","moradores","observacao",9,"text",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","mudanca","responsavel_bloco",5,"character varying",10,NULL,NULL,NULL,NULL
"postgresql","varandas","public","mudanca","horario",6,"character varying",20,NULL,NULL,NULL,NULL
"postgresql","varandas","public","domesticos","funcao",5,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","encomenda","bloco",6,"character varying",10,NULL,NULL,NULL,NULL
"postgresql","varandas","public","prestador","rg_cpf",8,"character varying",20,NULL,NULL,NULL,NULL
"postgresql","varandas","public","agendamento","dia",6,"integer",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","visitante","nome_visitante",3,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","moradores","email",7,"character varying",255,NULL,NULL,NULL,NULL
"postgresql","varandas","public","funcionario","celular",9,"character varying",15,NULL,NULL,NULL,NULL
"postgresql","varandas","public","encomenda","tipo_encomenda",8,"character varying",50,NULL,NULL,NULL,NULL
"postgresql","varandas","public","veiculo","marca",4,"character varying",50,NULL,NULL,NULL,NULL
"postgresql","varandas","public","visitante","hora_saida",9,"time without time zone",NULL,NULL,NULL,NULL,NULL
"postgresql","varandas","public","encomenda","empresa_entrega",10,"character varying",100,NULL,NULL,NULL,NULL
"postgresql","varandas","public","moradores","apartamento",3,"character varying",10,NULL,NULL,NULL,NULL
"postgresql","varandas","public","encomenda","numero_rastreamento",7,"character varying",100,NULL,NULL,NULL,NULL
